Application,Application ID,Platform,Platform ID
Forza Horizon 4 Demo,1124358392056655932,microsoft,
Ready or Not,1174041358995042375,microsoft,9PGSCVZP98QG
Ready or Not,1174041358995042375,microsoft,9NBR63PT4FZC
The Elder Scrolls IV: Oblivion Remastered,1364269607065485392,microsoft,
Grounded 2,1399813841487007976,microsoft,
Halo: The Master Chief Collection,1402418089332834455,microsoft,9N6VPDLQDVT5
Minecraft,1402418491272986635,microsoft,
Minecraft: Java Edition,1410791091501928458,microsoft,9PJ8266BHFWN
