Application,Application ID,Platform,Platform ID
Spiritfarer,1129504521626861732,,
eFootball 2023,1141144907654910103,,
RuneLite,1162151882039504916,,
Microsoft Minesweeper,1163957136213168159,,
FIFA 19,1164696488589406288,,
FIFA 20,1164697042187194458,,
iRacing.com Race Simulation,1164997420145459210,,
MovieStarPlanet,1168672770259959939,,
Alicia Online,1170070899567906877,,
Microsoft Halo,1174756409330647060,,
Die in the Dungeon: Origins,1180795587948466216,,
クジラゲームオンライン,1200470225720705074,,
Escape from Tarkov: Arena,1215361187684946010,,
삼국지14,1262785928766689376,,
世界樹の迷宮 HD REMASTER,1302527716389552128,,
12,1343190681090523156,,
Claire's Quest,1344353374811848785,,
imgui sample,1350212618949758986,,
Stronghold Legends,1350287432242823238,,
中華一商：傳承,1352446678543630357,,
ユミアのアトリエ ～追憶の錬金術士と幻創の地～,1353986824040615989,,
13!,1359196158035103846,,
세피리아,1360177588034736249,,
Asterix & Obelix XXL,1361551670236024902,,
世界樹の迷宮Ⅲ 星海の来訪者 HD REMASTER,1365915414789488680,,
Cars Mater-National,1367410331386773554,,
РУСЫ ПРОТИВ ЯЩЕРОВ 2,1367546189209276446,,
レッツプレイ！オインクゲームズ,1368603150977728643,,
Deathless,1369131830288322601,,
Emoji Clicker Collector,1369491566028128377,,
千恋＊万花,1370067773572648970,,
苏丹的游戏,1370792563359092958,,
ソフィーのアトリエ ～不思議な本の錬金術士～ DX,1386405446918869173,,
Stellar Settlers,1388609989760913468,,
Eyes: The Horror Game,1389727348688945192,,
Warframe Test,1402416639273861211,,
Crossfire,1402416706776989886,,
Mudlet,1402416728926851133,,
fin-dev,1402416786548461589,,
던전앤파이터,1402416795352305716,,
Sekiro: Shadows Die Twice,1402416796874834143,,
Longshot [Dev],1402416803191459951,,
SINNER,1402416808803438614,,
Paladins Strike,1402416829808509029,,
Star Wars: Rebellion,1402416830395453481,,
Oddworld: Stranger's Wrath,1402416850251288696,,
Masters of Anima,1402416884846170284,,
Last Year,1402416907843534919,,
Galactic Civilizations III,1402416918882942976,,
Counter-Strike: Global Offensive,1402416952713941106,,
Warframe Dev,1402416961962381402,,
King of the Hat,1402416963460010085,,
AT SUNDOWN: SitD,1402416966110806026,,
Hunt: Showdown,1402417933225033759,,
Age of Empires: Definitive Edition,1402418154541678746,,
osu!,1402418239342120960,,
PUBG LITE,1402418385052237944,,
Chess2,1402418683510522006,,
Nitro,1402418692922540144,,
UV Slayer Playground,1402418701516668981,,
Grand Theft Auto V Legacy,1402418714716143646,,
Free Fire,1407144801089880165,,
Word Search!,1407160052086735121,,
東方錦上京 〜 Fossilized Wonders.,1410353259712872660,,
Helicity,1411040262934761552,,
星の翼,1411138433837170742,,
Jigsaw Puzzles,1411432808815132743,,
💥CITY DESTRUCTION💥,1411666885405048904,,
⚽Ultimate Soccer,1411885786294521956,,
Silent Hill 2,1411968834306576394,,
Dodge the Ball,1412036797273477141,,
Y,1412059543382396980,,
Base Attack,1412361423098609777,,
WASD : 토리의 모험,1414973700087877852,,
Staffer Case: A Supernatural Mystery Adventure,1418944857287823520,,
TETR.IO,1420129716496633876,,
おにぎり屋さんシミュレーター,1420409519288094831,,
MR QA,1420467744943509555,,
Toy Story 2: Buzz Lightyear to the Rescue!,1428170901933002886,,
Quiz Thiz USA,1428171665325686918,,
Winning Post 10,1428171691342954566,,
Syphon Filter,1428171732682018866,,
Quiz Thiz United Kingdom,1428171814521274488,,
Star Wars: Rebel Assault II - The Hidden Empire,1428171957941043201,,
Star Wars Episode I: The Phantom Menace,1428171968846499901,,
Is It Wrong to Try to Pick Up Girls in a Dungeon?: Battle Chronicle,1428172022873063434,,
Hot Wheels: Rift Rally,1428172207691137054,,
Creed: Rise to Glory - Championship Edition,1428172238095646851,,
Hustle Kings,1428174716488646847,,
Jak II,1428174797535187024,,
Primal Carnage: Evolution,1428175024233119868,,
Academy of Drift,1428175378182045917,,
Winning Post 10 2024,1428175568368566272,,
Metal Gear & Metal Gear 2: Solid Snake,1428175666880450610,,
Interaction Isn't Explicit.,1428175811625619528,,
Road Bustle Online,1428176060503036036,,
R Drive,1428176229399265320,,
Pretzel Rides VR,1428176927125934212,,
Fantasy Beauties,1428177114623905875,,
Supermarket Simulation Grocery Empire 3D,1428177593412091954,,
Puzzle Drop Carnival,1428177881711775775,,
Rally Cross,1428177959264456895,,
The Great Fleece,1428177988989489213,,
The Jumping Donut,1428178087878590526,,
Operation Bodycam,1428178266799476848,,
The Jumping Ice Cube,1428178317038583941,,
"Yeah! You Want ""Those Games,"" Right? So Here You Go! Now, Let's See You Clear Them! 1+2",1428178350135836693,,
Gates of Migad,1428178693099880478,,
Chained Climb Together,1428178842870354042,,
TCG Empire: Card Shop Simulator,1428178850507915285,,
TCG Card Market Simulator,1428179039054729246,,
My First Gran Turismo,1428179052467847218,,
Liar's Pub,1428179866787778652,,
Bodycam Shooter 2025,1428180072896139395,,
Isekai∞Isekai,1428180149735526511,,
Dating Stories,1428180212541034618,,
BodyCam GangZone,1428180387225403473,,
Body Cam Shooter,1428180459254190080,,
Digging a Hole 2025,1428180543798775828,,
Project:; Cold Case.Mirage,1428180625239576596,,
Parking Pro: Top-Down Challenge,1428180674426179684,,
Karaoke joisaundo fō streamer,1428181090690142238,,
My Project 2 (9),1428181186844295261,,
Animal Spa,1428182165786591342,,
Amiko Legends,1428182882702065754,,
Metro Gravity,1428182961571758130,,
PlayM2M,1428183045814354033,,
Wakerunners,1428184355187986452,,
Outcast Tales,1428185647545323530,,
College Fantasy,1428185707846832180,,
Five Nights with Creg,1428187290177638440,,
Numeroso,1428187749986341015,,
Non Stop Drive,1428188101661949952,,
R.E.P.O.: Ghost Haul,1428188279433597048,,
Wittle Mistakes,1428188629179564124,,
Dice With Death,1428189004431626330,,
Backrooms: Together Escape,1428189641093152898,,
Ghost Frequency,1428207893508788405,,
40 Sports Games in 1,1428207907165704313,,
MiniLife: Tournament,1428207939969355876,,
Agnostiko VS,1428208037881188402,,
Bombardiro Crocodilo Simulator,1428208330899198053,,
20th Century Beauties,1428208901165289545,,
Tung Tung Tung Sahur Runner,1428210564483518675,,
Freddi Fish Collection,1428211086741475399,,
Color Recreator,1428211128625795102,,
Tung Tung Sahur Extreme,1428211173966221312,,
Dinotica,1428212355384479836,,
MX vs. ATV: Alive,1428235229864136795,,
Mister Mosquito,1428235250785456229,,
Harms Way,1428235279998648371,,
Super Street Fighter IV: Arcade Edition,1428235323854426123,,
Dragon's Crown,1428235343055949834,,
NBA Jam: On Fire Edition,1428235364337848320,,
Command & Conquer: Tiberium Alliances,1428235427566981141,,
Sly 2: Band of Thieves HD,1428235495611174943,,
Earth Defense Force 2025,1428235509880066078,,
Resistance: Retribution,1428235546051743875,,
Midway Arcade Origins,1428235559922303028,,
HIQ Ace Unlimited,1431816788731105435,,
深夜廻,1432066341531025568,,
Test: The Game,1435707463935594496,,
Justice Online,1436052593511235655,,
Radio Commander: Complete Edition,1437603688930607144,,
RESOGUN,1437628659799167037,,
Viscera Cleanup Detail: Santa's Rampage,1437628848635379833,,
Minecraft: Story Mode - A Telltale Games Series: Season Pass Disc,1439066468959522968,,
MediEvil II,1439066517965639802,,
Dead Island Definitive Collection,1439066703400145028,,
Killzone: Liberation,1439066798606516398,,
Divine Divinity,1439066833297739968,,
Batman: The Telltale Series - Episode 1: Realm of Shadows,1439066862108282911,,
The Playroom VR,1439066908937682966,,
Jumping Flash!,1439066942215295098,,
Jet Moto 2,1439066968299802634,,
MX vs. ATV: Untamed,1439067052097802322,,
WipEout: Omega Collection,1439067084456726588,,
Hot Shots Golf 2,1439067105466126337,,
Digimon Story: Cyber Sleuth - Hacker's Memory,1439067240426111038,,
Secret Agent Clank,1439067278472642662,,
Killer Instinct,1439067325419491378,,
Arcade Archives: ROLLING THUNDER,1439067450753679543,,
Jet Moto,1439428106006954105,,
Rapala Fishing: Pro Series,1439428176366276748,,
Sid Meier's: Civilization Revolution,1439428251511554159,,
Dead Rising 4: Frank's Big Package,1439428268770988042,,
UEFA EURO 2016: Pro Evolution Soccer,1439428415458512907,,
Concrete Genie,1439428418436337684,,
Stronghold: Crusader - Extreme,1439428490393817181,,
Portal: Still Alive,1439428513282261053,,
Echochrome,1439428519426920519,,
Renai ribenji,1439428748809080884,,
Jak and Daxter: The Lost Frontier,1439428859043778760,,
Sudden Strike 4: European Battlefields Edition,1439428871022837861,,
Hajwala,1439428902954074152,,
Worms World Party,1439429131317149877,,
Transit King Tycoon,1439429307649757276,,
SoulCalibur: Broken Destiny,1439429336955486308,,
Castlevania Requiem: Symphony of the Night & Rondo of Blood,1439429367733162188,,
OKAGE: Shadow King,1439430097655304375,,
Buzz Lightyear of Star Command,1439430142131830835,,
BlazBlue: Cross Tag Battle - Special Edition,1439430482638016572,,
RACING BROS,1439431114837069974,,
Destruction AllStars,1439431165588017182,,
Too Human,1439431230020915250,,
Indiana Jones and the Staff of Kings,1439431289949130882,,
Nioh 2 Remastered: The Complete Edition,1439431759216250991,,
Night is Coming: Wrath of the Woods,1439431778992525505,,
Arab Drift Cars,1439433264233320549,,
Mobile Suit Gundam: Battle Operation Code Fairy,1439433541845909564,,
Armored Core: Master of Arena,1439433901473796127,,
eBaseball Powerful Pro Baseball 2022,1439433931941347450,,
Ghostbusters: Rise of the Ghost Lord,1439434640984244294,,
Kingdom of Drift,1439434867522670794,,
PuffPals: Island Skies,1439435096309370890,,
Batman: Return to Arkham - Arkham Asylum,1439435138349011004,,
F.E.A.R. Ultimate Shooter,1439435413247885483,,
Soulframe,1440129553036083341,,
Rogue Voltage,1440129565963063419,,
Silent Hill: Homecoming,1440129583197458503,,
Twisted Metal 2,1440129616596566097,,
Saudi Drift,1440129750214508686,,
THEATRHYTHM FINAL BAR LINE,1440129849178980362,,
Tekken 3,1440129892648878233,,
Tekken 2,1440129897128530063,,
Up,1440129985661763715,,
Synapse,1440130264994021556,,
Marvel's Avengers Definitive Edition,1440130319276572852,,
Nugget Royale,1440130403292807260,,
FOAMSTARS,1440130496230195435,,
Jak and Daxter: The Precursor Legacy,1440130539079340185,,
Jak 3,1440130560964952145,,
Watch,1440130601297510491,,
Loftia,1440130614530539580,,
Test Drive Unlimited 2,1440130894403862692,,
Trials HD,1440130929396940800,,
Chess: Play & Learn,1440130993343168602,,
R4: Ridge Racer Type 4,1440131001274728538,,
Resident Evil: Director's Cut,1440131139233775788,,
Silent Hill: The Short Message,1440131211971530865,,
Pokémon Legends: Z-A,1440131289255510016,,
Whiteout Survival,1440131390791487569,,
ASTRO BOT,1440131603887296535,,
Marble Maze,1440131629849772263,,
Midnight Club: Los Angeles - Complete Edition,1440131715753578719,,
Tarisland,1440131820447334570,,
Ghost of Yotei,1440132103672172746,,
Venus Vacation Prism: Dead or Alive Xtreme,1440132156801155193,,
Destiny: Rising,1440132216519921696,,
Piece Out,1440132870873022595,,
Japanese Drift Master,1440133384402632755,,
Spearain,1440133706562928680,,
Treeverse,1440133817116393542,,
ARSONATE,1440135005564309676,,
Project Saturn,1440135518036955196,,
Dungeon CEO,1440136402787635260,,
Castlevania: Harmony of Despair,1440136437851750420,,
Patapon 3,1440136558597640233,,
Lost Odyssey,1440137138657300480,,
Trine 2,1440137496393683005,,
Ragnarok M: Classic,1440137500092924045,,
Dinotica,1440137536025395272,,
Animal Jam Classic,1440137620695941130,,
Silver and Blood,1440137653243740160,,
PaperDrive,1440137983301910691,,
